Problem Name,Step Name,KC(Default),E Conceptual,E Resolución,Dificultad
PROP03,R3C2," Write expression, positive slope~~Using difficult numbers~~Using small numbers",0.0,0.0,1
PROP03,R4C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.507,0.1404,6
PROP03,R4C2, Entering a given,0.0225,0.0,1
PROP03,R5C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP03,R5C1, Entering a given,0.0825,0.0206,1
PROP03,R6C2, Entering a given,0.086,0.0,1
PROP03,R7C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP03,R7C1, Entering a given,0.1471,0.0,1
PROP03,ValidEquations, nan,0.0272,0.0,1
PROP03,coef 1, nan,0.0612,0.0204,1
PROP03,coef 1, Remove positive coefficient,0.2609,0.0,3
PROP03,coef 1, Remove coefficient,0.1486,0.0,1
PROP03,R6C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.454,0.0846,5
PROP12,R1C1, nan,0.1429,0.0714,2
PROP12,R1C2, nan,0.1636,0.0727,2
PROP12,R2C1, Identifying units,0.4121,0.1209,5
PROP12,R3C1, Define Variable,0.04,0.12,2
PROP12,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.2943,0.4291,7
PROP12,R4C2, Entering a given,0.0732,0.0,1
PROP12,ValidEquations, nan,0.0505,0.0,1
PROP12,coef 1, nan,0.4938,0.0123,5
PROP12,coef 1, Eliminate Parens,0.2037,0.037,2
PROP12,coef 1, Remove positive coefficient,0.1071,0.0,1
PROP12,coef 1, Remove coefficient,0.3929,0.2679,7
PROP12,R4C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.4213,0.1042,5
PROP12,R5C1, Entering a given,0.1915,0.0,2
PROP12,R6C1, Entering a given,0.0506,0.0,1
PROP12,R5C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP12,R6C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP02,R1C1, nan,0.1828,0.086,3
PROP02,R1C2, nan,0.1667,0.0476,2
PROP02,R3C1, Define Variable,0.0294,0.0,1
PROP02,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.2826,0.3641,6
PROP02,R4C1, Entering a given,0.0308,0.0,1
PROP02,R5C2, Entering a given,0.0,0.0,1
PROP02,R6C1, Entering a given,0.0896,0.0,1
PROP02,R7C1, Entering a given,0.0294,0.0882,1
PROP02,ValidEquations, nan,0.0,0.0,1
PROP02,coef 1, nan,0.0714,0.0,1
PROP02,coef 1, Remove positive coefficient,0.24,0.32,6
PROP02,coef 1, Remove coefficient,0.0,0.0,1
PROP02,R5C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.4066,0.0,4
PROP02,R4C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP02,R7C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP02,R6C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP01,R1C1, nan,0.2581,0.086,3
PROP01,R1C2, nan,0.0,0.0615,1
PROP01,R3C1, Define Variable,0.0,0.0,1
PROP01,R3C2," Using difficult numbers~~Using small numbers~~Write expression, positive slope",0.0,0.0,1
PROP01,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.24,0.08,3
PROP01,R4C1, Entering a given,0.0328,0.0,1
PROP01,R5C1, Entering a given,0.0645,0.0484,1
PROP01,R6C1, Entering a given,0.0702,0.0,1
PROP01,R7C2, Entering a given,0.0,0.0,1
PROP01,ValidEquations, nan,0.012,0.0,1
PROP01,coef 1, Eliminate Parens,0.125,0.0,1
PROP01,coef 1, Remove positive coefficient,0.0833,0.1667,3
PROP01,coef 1, Remove coefficient,0.4694,0.1224,6
PROP01,coef 1, nan,0.2727,0.1212,4
PROP01,R7C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.2295,0.0656,3
PROP01,R7C1," Using difficult numbers~~Using small numbers~~Find X, Simple",0.3333,0.0,3
PROP01,R5C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP01,R6C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP09,R1C1, nan,0.0143,0.1429,2
PROP09,R1C2, nan,0.0725,0.1159,2
PROP09,R3C1, Define Variable,0.0667,0.0,1
PROP09,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.1395,0.2326,4
PROP09,R4C1, Entering a given,0.2,0.0,2
PROP09,R5C1, Entering a given,0.1,0.0,1
PROP09,R6C1, Entering a given,0.1562,0.0,2
PROP09,R7C2, Entering a given,0.037,0.0,1
PROP09,ValidEquations, nan,0.0417,0.0,1
PROP09,coef 1, nan,0.1818,0.0,2
PROP09,coef 1, Remove positive coefficient,0.0,0.0,1
PROP09,coef 1, Remove coefficient,0.0571,0.0,1
PROP09,R7C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.3814,0.134,5
PROP09,R4C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",0.6667,0.0,7
PROP09,R5C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP09,R6C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP06,R1C1, nan,0.1111,0.1852,3
PROP06,R2C1, Identifying units,0.2911,0.2785,6
PROP06,R1C2, nan,0.2295,0.1311,4
PROP06,R2C2, Identifying units,0.1944,0.3333,5
PROP06,R3C1, Define Variable,0.0571,0.0571,1
PROP06,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.0667,0.0,1
PROP06,R4C2, Entering a given,0.0,0.0,1
PROP06,R5C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",0.871,0.129,10
PROP06,R5C2," Using difficult numbers~~Find Y, Simple~~Using small numbers",1.0,0.0,10
PROP06,R5C1, Entering a given,0.4,0.0,4
PROP06,R6C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",0.7778,0.2222,10
PROP06,R6C1, Entering a given,0.0,0.0,1
PROP06,R7C1, Entering a given,0.08,0.0,1
PROP06,R4C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.4559,0.2206,7
PROP06,ValidEquations, nan,0.1818,0.0,2
PROP06,coef 1, Remove coefficient,0.0417,0.125,2
PROP06,coef 1, Remove positive coefficient,0.0,0.0,1
PROP06,coef 1, nan,0.0,0.0,1
PROP06,R7C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP10,R1C1, nan,0.0,0.1538,2
PROP10,R2C1, Identifying units,0.0714,0.1429,2
PROP10,R3C1, Define Variable,0.0,0.0,1
PROP10,R1C2, nan,0.0833,0.1667,3
PROP10,R2C2, Identifying units,0.1538,0.1538,3
PROP10,R3C2," Using small numbers~~Using difficult numbers~~Write expression, ratio",0.16,0.48,6
PROP10,R4C1, Entering a given,0.0,0.0,1
PROP10,R5C2, Entering a given,0.1111,0.0,1
PROP10,R5C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.4231,0.1538,6
PROP10,R6C1, Entering a given,0.0,0.0,1
PROP10,R7C1, Entering a given,0.0,0.0,1
PROP10,ValidEquations, nan,0.0,0.0,1
PROP10,coef 1, Remove coefficient,0.2857,0.0,3
PROP10,coef 1, nan,0.0,0.0,1
PROP10,coef 1, Remove positive coefficient,0.0,0.0,1
PROP13,R1C1, nan,0.0714,0.2857,4
PROP13,R2C1, Identifying units,0.1333,0.4,5
PROP13,R4C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP13,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.25,0.4375,7
PROP13,R4C1," Entering a given~~Convert unit, standard",0.2778,0.4444,7
PROP13,R1C2, nan,0.0,0.25,3
PROP13,R3C1, Define Variable,0.1667,0.0,2
PROP13,R5C1," Entering a given~~Convert unit, standard",0.2143,0.5714,8
PROP13,R6C1," Entering a given~~Convert unit, standard",0.0,0.6667,7
PROP13,R7C2, Entering a given,0.0,0.6667,7
PROP13,ValidEquations, nan,0.0,0.0,1
PROP13,coef 1, nan,0.3333,0.3333,7
PROP13,coef 1, Remove positive coefficient,0.0,0.75,8
LDEMO_4QGRPH,R1C1, nan,0.1062,0.0354,1
LDEMO_4QGRPH,R1C2, nan,0.1062,0.0354,1
LDEMO_4QGRPH,R2C2, Identifying units,0.0,0.0,1
LDEMO_4QGRPH,R3C1, Define Variable,0.04,0.0,1
LDEMO_4QGRPH,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.27,0.4599,7
LDEMO_4QGRPH,R4C1, Entering a given,0.0917,0.055,1
LDEMO_4QGRPH,R5C1, Entering a given,0.0211,0.0,1
LDEMO_4QGRPH,R6C2, Entering a given,0.0606,0.0,1
LDEMO_4QGRPH,R7C2, Entering a given,0.1071,0.3175,4
LDEMO_4QGRPH,ValidEquations, nan,0.0173,0.0,1
LDEMO_4QGRPH,coef 1, Remove constant,0.1747,0.131,3
LDEMO_4QGRPH,coef 1, Remove positive coefficient,0.0392,0.1176,2
LDEMO_4QGRPH,coef 1, Remove coefficient,0.1304,0.0,1
LDEMO_4QGRPH,coef 1, nan,0.4,0.5333,9
LDEMO_4QGRPH,R6C1," Using small numbers~~Find X, positive slope~~Using difficult numbers",0.3274,0.1439,5
LDEMO_4QGRPH,R6C1," Using difficult numbers~~Using small numbers~~Find X, positive slope",0.0,0.0,1
LDEMO_4QGRPH,YLabel, Labelling the axes,0.2037,0.0,2
LDEMO_4QGRPH,XLabel, Labelling the axes,0.0435,0.0217,1
LDEMO_4QGRPH,R7C1," Using small numbers~~Find X, positive slope~~Using difficult numbers",0.3462,0.2642,6
LDEMO_4QGRPH,R7C1," Find X, positive slope~~Using difficult numbers~~Using small numbers",0.0,0.0,1
LDEMO_4QGRPH,xMin, Changing axis bounds,0.1304,0.0,1
LDEMO_4QGRPH,xMax, Changing axis bounds,0.2344,0.0391,3
LDEMO_4QGRPH,xScale, Changing axis intervals,0.0,0.0,1
LDEMO_4QGRPH,yMin, Changing axis bounds,0.4041,0.1266,5
LDEMO_4QGRPH,yMax, Changing axis bounds,0.1714,0.0082,2
LDEMO_4QGRPH,yScale, Changing axis intervals,0.0,0.0,1
LDEMO_4QGRPH,YUnit, nan,0.0465,0.0,1
LDEMO_4QGRPH,Point 1.2, Correctly placing points,0.0,1.0,10
LDEMO_4QGRPH,Point 1.4, Correctly placing points,0.0,1.0,10
LDEMO_4QGRPH,Point 1.1, Correctly placing points,0.0,1.0,10
LDEMO_4QGRPH,Add Point, nan,0.8571,0.1429,10
LDEMO_4QGRPH,Point 1.3, Correctly placing points,0.0,1.0,10
LDEMO_4QGRPH,R4C2," Using small numbers~~Find Y, positive slope~~Using difficult numbers",0.0,0.0,1
BH1T20,R1C1, nan,0.0771,0.0857,2
BH1T20,R1C2, nan,0.0994,0.0361,1
BH1T20,R2C1, Identifying units,0.2246,0.0,2
BH1T20,R2C2, Identifying units,0.0896,0.0537,1
BH1T20,R3C1, Define Variable,0.0,0.0,1
BH1T20,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.2774,0.485,8
BH1T20,R3C2," Using difficult numbers~~Using small numbers~~Write expression, positive slope",0.5,0.0,5
BH1T20,R4C2, Entering a given,0.0,0.0623,1
BH1T20,R5C1, Entering a given,0.0407,0.0,1
BH1T20,coef 1, Remove constant,0.1672,0.1672,3
BH1T20,coef 1, Remove positive coefficient,0.0296,0.0887,1
BH1T20,coef 1, Remove coefficient,0.0,0.1111,1
BH1T20,coef 1, nan,0.0,1.0,10
BH1T20,coef 1, Eliminate Parens,0.0,0.0,1
BH1T20,ValidEquations, nan,0.0779,0.0,1
BH1T20,R4C1," Using small numbers~~Find X, positive slope~~Using difficult numbers",0.424,0.091,5
BH1T20,R6C1," Entering a given~~Convert unit, standard",0.4142,0.4179,8
BH1T20,R7C1, Entering a given,0.5159,0.1622,7
BH1T20,R7C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.0,0.0,1
BH1T20,YLabel, Labelling the axes,0.274,0.0,3
BH1T20,YUnit, nan,0.1152,0.0,1
BH1T20,XLabel, Labelling the axes,0.1249,0.0208,1
BH1T20,XUnit, nan,0.0399,0.0799,1
BH1T20,xMin, Changing axis bounds,0.1822,0.0,2
BH1T20,xMax, Changing axis bounds,0.2121,0.0159,2
BH1T20,xScale, Changing axis intervals,0.0,0.0,1
BH1T20,yMin, Changing axis bounds,0.0404,0.0,1
BH1T20,yMax, Changing axis bounds,0.4438,0.181,6
BH1T20,yScale, Changing axis intervals,0.0,0.0,1
BH1T20,Point 1.3, Correctly placing points,0.0,1.0,10
BH1T20,R6C2," Using small numbers~~Find Y, positive slope~~Using difficult numbers",0.913,0.087,10
BH1T20,R7C2," Using small numbers~~Find Y, positive slope~~Using difficult numbers",0.7788,0.1939,9
BH1T20,Point 1.4, Correctly placing points,0.0,1.0,10
BH1T20,Point 1.1, Correctly placing points,0.0,1.0,10
BH1T20,Add Point, nan,1.0,0.0,10
BH1T20,Point 1.2, Correctly placing points,0.0,1.0,10
BH1T20,R5C2," Using small numbers~~Find Y, positive slope~~Using difficult numbers",1.0,0.0,10
FEB11,R1C1, nan,0.1639,0.0328,2
FEB11,R1C2, nan,0.1667,0.0333,2
FEB11,R2C1, Identifying units,0.1695,0.0,2
FEB11,R3C1, Define Variable,0.0,0.0204,1
FEB11,R3C2," Using simple numbers~~Using small numbers~~Write expression, positive slope",0.3745,0.4486,8
FEB11,R3C2," Using small numbers~~Write expression, positive slope~~Using simple numbers",0.0,0.7143,7
FEB11,R4C1, Entering a given,0.0,0.0,1
FEB11,R4C1," Using small numbers~~Find X, positive slope~~Using difficult numbers",0.0,0.0,1
FEB11,R5C2, Entering a given,0.0196,0.0588,1
FEB11,R5C1," Using simple numbers~~Using small numbers~~Find X, Simple",0.2746,0.0686,3
FEB11,R5C1, Entering a given,0.0,0.0,1
FEB11,R6C1, Entering a given,0.0106,0.0,1
FEB11,R6C1," Entering a given~~Convert unit, standard",0.375,0.5,9
FEB11,R7C2, Entering a given,0.0,0.0,1
FEB11,R7C1," Using simple numbers~~Using small numbers~~Find X, Simple",0.1125,0.0,1
FEB11,R7C1, Entering a given,0.75,0.0,8
FEB11,YLabel, Labelling the axes,0.1584,0.0,2
FEB11,XLabel, Labelling the axes,0.0669,0.0191,1
FEB11,xMin, Changing axis bounds,0.087,0.0,1
FEB11,xMax, Changing axis bounds,0.0729,0.0,1
FEB11,xScale, Changing axis intervals,0.0,0.0,1
FEB11,yMin, Changing axis bounds,0.0,0.0,1
FEB11,yMax, Changing axis bounds,0.0393,0.0,1
FEB11,yScale, Changing axis intervals,0.0,0.0,1
FEB11,XUnit, nan,0.0385,0.0,1
FEB11,ValidEquations, nan,0.0,0.0,1
FEB11,coef 1, Remove positive coefficient,0.1367,0.06,2
FEB11,coef 1, Remove constant,0.0,0.0,1
FEB11,coef 1, Remove coefficient,0.0,0.0,1
FEB11,Point 1.2, Correctly placing points,0.0,1.0,10
FEB11,Point 1.3, Correctly placing points,0.0,1.0,10
FEB11,Add Point, nan,1.0,0.0,10
FEB11,R4C2," Find Y, Simple~~Using simple numbers~~Using small numbers",0.25,0.0,3
FEB11,R4C2, Entering a given,0.0,0.0,1
FEB11,R6C2," Find Y, Simple~~Using simple numbers~~Using small numbers",0.3333,0.0,3
FEB11,YUnit, nan,0.0,0.0,1
FEB11,Point 1.1, Correctly placing points,0.0,1.0,10
FEB11,Point 1.4, Correctly placing points,0.0,1.0,10
L5FB16,R1C1, nan,0.2248,0.031,3
L5FB16,R1C2, nan,0.1583,0.0333,2
L5FB16,YLabel, Labelling the axes,0.205,0.0,2
L5FB16,R2C1, Identifying units,0.1071,0.0357,1
L5FB16,R2C2, Identifying units,0.0855,0.1197,2
L5FB16,R3C1, Define Variable,0.0,0.0,1
L5FB16,R4C1, Entering a given,0.4176,0.2044,6
L5FB16,R5C1, Entering a given,0.0347,0.0,1
L5FB16,R5C1," Using simple numbers~~Using small numbers~~Entering a given~~Find X, Simple",0.3077,0.6154,9
L5FB16,R3C2," Using simple numbers~~Write expression, positive slope~~Using large numbers",0.237,0.5135,8
L5FB16,R3C2," Write expression, positive slope~~Using large numbers~~Using simple numbers",0.3333,0.5,8
L5FB16,R3C2," Using simple numbers~~Using small numbers~~Write expression, positive slope~~Using large numbers",0.4762,0.381,9
L5FB16,R3C2," Using large numbers~~Using simple numbers~~Write expression, positive slope",0.0,0.0,1
L5FB16,R7C2, Entering a given,0.1963,0.4371,6
L5FB16,R6C2, Entering a given,0.4825,0.2521,7
L5FB16,YUnit, nan,0.0455,0.0,1
L5FB16,XLabel, Labelling the axes,0.0943,0.0,1
L5FB16,XUnit, nan,0.0682,0.0,1
L5FB16,coef 1," ax+b=c, negative",0.375,0.0,4
L5FB16,coef 1, Remove positive coefficient,0.0774,0.0833,2
L5FB16,coef 1, nan,0.8835,0.1165,10
L5FB16,coef 1, Remove constant,0.3008,0.1015,4
L5FB16,coef 1, Remove coefficient,0.2692,0.0,3
L5FB16,ValidEquations, nan,0.1335,0.0,1
L5FB16,R6C1," Using simple numbers~~Using large numbers~~Find X, positive slope",0.4544,0.3805,8
L5FB16,R6C1," Using simple numbers~~Entering a given~~Using large numbers~~Find X, positive slope",0.4286,0.3571,8
L5FB16,R7C1," Using simple numbers~~Using large numbers~~Find X, positive slope",0.3606,0.2763,6
L5FB16,R7C1," Using large numbers~~Find X, positive slope~~Using simple numbers",0.0,0.0,1
L5FB16,R7C1," Using simple numbers~~Using small numbers~~Find X, Simple~~Using large numbers~~Find X, positive slope",0.4091,0.4545,9
L5FB16,xMin, Changing axis bounds,0.476,0.109,6
L5FB16,xMax, Changing axis bounds,0.3337,0.0698,4
L5FB16,xScale, Changing axis intervals,0.0,0.0,1
L5FB16,yMin, Changing axis bounds,0.3572,0.0528,4
L5FB16,yMax, Changing axis bounds,0.2459,0.0,2
L5FB16,yScale, Changing axis intervals,0.0,0.0,1
L5FB16,Point 1.2, Correctly placing points,0.0,1.0,10
L5FB16,Point 1.4, Correctly placing points,0.0,1.0,10
L5FB16,Point 1.3, Correctly placing points,0.0,1.0,10
L5FB16,Point 1.1, Correctly placing points,0.0,1.0,10
L5FB16,R5C2," Using simple numbers~~Using large numbers~~Find Y, positive slope",0.6857,0.2286,9
L5FB16,R5C2, Entering a given,0.0,0.0,1
L5FB16,R4C2," Using simple numbers~~Using large numbers~~Find Y, positive slope",0.7068,0.2105,9
FEB05,R1C1, nan,0.0926,0.037,1
FEB05,R1C2, nan,0.0769,0.0385,1
FEB05,R2C1, Identifying units,0.1481,0.0,1
FEB05,R2C2, Identifying units,0.0784,0.0196,1
FEB05,R3C1, Define Variable,0.0213,0.0,1
FEB05,R3C2," Using small numbers~~Write expression, negative slope~~Using difficult numbers",0.2712,0.4746,7
FEB05,R4C2, Entering a given,0.0833,0.0,1
FEB05,R5C1, Entering a given,0.4352,0.1036,5
FEB05,R6C1, Entering a given,0.0426,0.0,1
FEB05,R7C2, Entering a given,0.0217,0.0,1
FEB05,ValidEquations, nan,0.032,0.0,1
FEB05,coef 1, Remove constant,0.2253,0.0889,3
FEB05,coef 1, Remove coefficient,0.3444,0.1157,5
FEB05,coef 1, nan,0.2198,0.2637,5
FEB05,coef 1, Remove positive coefficient,0.4,0.0,4
FEB05,coef 1, Eliminate Parens,0.0,0.0,1
FEB05,R4C1," Using small numbers~~Find X, negative slope~~Using difficult numbers",0.4276,0.2884,7
FEB05,R4C1," Using difficult numbers~~Using small numbers~~Find X, negative slope",0.0,0.0,1
FEB05,R7C1," Using small numbers~~Find X, negative slope~~Using difficult numbers",0.3961,0.0932,5
FEB05,YLabel, Labelling the axes,0.1558,0.0,2
FEB05,XLabel, Labelling the axes,0.0545,0.0,1
FEB05,xMin, Changing axis bounds,0.172,0.0191,2
FEB05,xMax, Changing axis bounds,0.0828,0.0,1
FEB05,xScale, Changing axis intervals,0.0,0.0,1
FEB05,yMin, Changing axis bounds,0.0759,0.0,1
FEB05,yMax, Changing axis bounds,0.0512,0.0,1
FEB05,yScale, Changing axis intervals,0.0,0.0,1
FEB05,Point 1.1, Correctly placing points,0.0,1.0,10
FEB05,YUnit, nan,0.0,0.0,1
FEB05,XUnit, nan,0.0645,0.0,1
FEB05,Point 1.2, Correctly placing points,0.0,1.0,10
FEB05,Point 1.4, Correctly placing points,0.0,1.0,10
FEB05,R5C2," Using small numbers~~Find Y, negative slope~~Using difficult numbers",0.8684,0.0526,9
FEB05,R6C2," Using small numbers~~Find Y, negative slope~~Using difficult numbers",1.0,0.0,10
FEB05,coef 2, nan,0.0,0.6,6
FEB05,coef 2," Consolidate vars, any",1.0,0.0,10
FEB05,Add Point, nan,1.0,0.0,10
FEB05,Point 1.3, Correctly placing points,0.0,1.0,10
JAN03,R1C1, nan,0.0545,0.0545,1
JAN03,R1C2, nan,0.3333,0.0952,4
JAN03,R2C1, Identifying units,0.4062,0.0833,5
JAN03,R2C2, Identifying units,0.1167,0.0667,2
JAN03,R3C1, Define Variable,0.0,0.0,1
JAN03,R3C2," Using simple numbers~~Using small numbers~~Write expression, negative slope",0.3956,0.3912,8
JAN03,R4C1, Entering a given,0.3564,0.1489,5
JAN03,R5C2, Entering a given,0.2857,0.2707,6
JAN03,R6C1," Entering a given~~Convert unit, standard",0.3669,0.0828,4
JAN03,ValidEquations, nan,0.3135,0.0,3
JAN03,coef 1, Remove constant,0.3375,0.15,5
JAN03,coef 1, Remove coefficient,0.0671,0.0604,1
JAN03,coef 1, nan,0.0,0.0,1
JAN03,R5C1," Using simple numbers~~Using small numbers~~Find X, negative slope",0.4707,0.2343,7
JAN03,R5C1," Find X, negative slope~~Using simple numbers~~Using small numbers",0.0,0.0,1
JAN03,YLabel, Labelling the axes,0.2042,0.0,2
JAN03,YUnit, nan,0.075,0.0,1
JAN03,XLabel, Labelling the axes,0.0481,0.0412,1
JAN03,XUnit, nan,0.0,0.0,1
JAN03,xMin, Changing axis bounds,0.1284,0.0328,2
JAN03,xMax, Changing axis bounds,0.2217,0.0831,3
JAN03,xScale, Changing axis intervals,0.0,0.0,1
JAN03,yMax, Changing axis bounds,0.0669,0.0,1
JAN03,yMin, Changing axis bounds,0.3909,0.0714,5
JAN03,yScale, Changing axis intervals,0.0,0.0,1
JAN03,Point 1.1, Correctly placing points,0.0,1.0,10
JAN03,Point 1.3, Correctly placing points,0.0,1.0,10
JAN03,R4C2," Using simple numbers~~Using small numbers~~Find Y, negative slope",0.3741,0.1871,6
JAN03,Point 1.2, Correctly placing points,0.0,1.0,10
JAN03,Add Point, nan,1.0,0.0,10
JAN03,R6C2," Using simple numbers~~Using small numbers~~Find Y, negative slope",0.65,0.25,9
L6FB08,R1C1, nan,0.0189,0.0566,1
L6FB08,R1C2, nan,0.1062,0.0354,1
L6FB08,R2C1, Identifying units,0.455,0.0853,5
L6FB08,R3C1, Define Variable,0.0,0.0,1
L6FB08,R3C2," Using simple numbers~~Using small numbers~~Write expression, positive slope",0.1686,0.4706,6
